A номер;B номер;IMSI;Дата (коммутатор);Продолжительность;Набрано;Переадресовано;IMEI;ID первой БС;Адрес первой БС;Коммутатор ID;Коммутатор;SMS центр;Тип записи;Тип соединения;Время по Москве;Номер;Контакт;LAC
79062863352;79057493732;250997004107543;01.09.2013 16:10:02;15;79057493732;;352069052624840;23229 ;Энская обл, Энск г, Карла Либкнехта, д.27а;79062919999;Энск;;Входящий звонок;Local;01.09.2013 16:10:02;79057493732;79062863352;6238
79113037126;79062863352;250992180008353;02.09.2013 08:22:47;122;79062863352;;352833037456380;21231 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;02.09.2013 08:22:47;79062863352;79113037126;6238
79062863352;79022810325;250992180008353;02.09.2013 09:23:48;26;79022810325;;352833037456380;20122 ;"Энская обл, Энск г, Шмидта ул, д.12, Центральная ТЭЦ ОАО ""Колэнерго""";79062919999;Энск;;Исходящий звонок;Local;02.09.2013 09:23:48;79062863352;79022810325;6238
79062863352;79113037126;250992180008353;02.09.2013 09:52:20;19;79113037126;;352833037456380;20122 ;"Энская обл, Энск г, Шмидта ул, д.12, Центральная ТЭЦ ОАО ""Колэнерго""";79062919999;Энск;;Исходящий звонок;Local;02.09.2013 09:52:20;79062863352;79113037126;6238
79113034457;79062863352;250992180008353;02.09.2013 09:56:45;66;79062863352;;352833037456380;21791 ;Энская обл, Энск г, Фрунзе, ТП ООО Гидротехник;79062919999;Энск;;Входящий звонок;Local;02.09.2013 09:56:45;79062863352;79113034457;6238
79062863352;79062863357;250992180008353;02.09.2013 10:24:53;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 10:24:53;79062863352;79062863357;
79062863352;79062863357;250992180008353;02.09.2013 10:24:57;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 10:24:57;79062863352;79062863357;
79062863357;79062863352;250992180008353;02.09.2013 10:35:22;6;79062863352;;352833037456380;20363 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Входящий звонок;Local;02.09.2013 10:35:22;79062863352;79062863357;6238
79062863357;79062863352;250992180397736;02.09.2013 10:35:22;6;79062863352;;357855010842960;20363 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Исходящий звонок;Local;02.09.2013 10:35:22;79062863357;79062863352;6238
79062863357;79062863352;250992180008353;02.09.2013 10:55:05;220;79062863352;;352833037456380;23633 ;"Энская обл, Энск г, Промышленная, д.26, АМС ОАО ""ВымпелКом""";79062919999;Энск;;Входящий звонок;Local;02.09.2013 10:55:05;79062863352;79062863357;6238
79062863357;79062863352;250992180397736;02.09.2013 10:55:05;219;79062863352;;357855010842960;20363 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Исходящий звонок;Local;02.09.2013 10:55:05;79062863357;79062863352;6238
79113009799;79062863352;250992180008353;02.09.2013 11:31:33;30;79062863352;;352833037456380;20073 ;Энская обл, Энск г, Ивченко ул, д.8;79062919999;Энск;;Входящий звонок;Local;02.09.2013 11:31:33;79062863352;79113009799;6238
79219600002;79062863352;250992180008353;02.09.2013 11:33:11;0;;;352833037456380;20073 ;Энская обл, Энск г, Ивченко ул, д.8;79062919999;Энск;79219600002;SMS Входящее;Local;02.09.2013 11:33:11;79062863352;79219600002;6238
79219600002;79062863352;250992180008353;02.09.2013 11:33:16;0;;;352833037456380;20073 ;Энская обл, Энск г, Ивченко ул, д.8;79062919999;Энск;79219600002;SMS Входящее;Local;02.09.2013 11:33:16;79062863352;79219600002;6238
79062863357;79062863352;250992180008353;02.09.2013 11:35:17;130;79062863352;;352833037456380;20073 ;Энская обл, Энск г, Ивченко ул, д.8;79062919999;Энск;;Входящий звонок;Local;02.09.2013 11:35:17;79062863352;79062863357;6238
79062863357;79062863352;250992180397736;02.09.2013 11:35:17;130;79062863352;;357855010842960;20363 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Исходящий звонок;Local;02.09.2013 11:35:17;79062863357;79062863352;6238
79062863352;79215101913;250992180008353;02.09.2013 11:37:49;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 11:37:49;79062863352;79215101913;
79062863357;79062863352;250992180397736;02.09.2013 11:49:54;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 11:49:54;79062863357;79062863352;
79062863352;79062863357;250992180008353;02.09.2013 11:59:07;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 11:59:07;79062863352;79062863357;
79062863352;79114167216;250992180008353;02.09.2013 12:01:24;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 12:01:24;79062863352;79114167216;
79062863352;79114167216;250992180008353;02.09.2013 12:01:30;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 12:01:30;79062863352;79114167216;
79112009993;79062863352;250992180008353;02.09.2013 12:25:57;0;;;352833037456380;20032 ;"Энская обл, Энск г, Александра Невского, д.36, котельная ГОУТП ""ТЭКОС""";79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:25:57;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:26:02;0;;;352833037456380;20032 ;"Энская обл, Энск г, Александра Невского, д.36, котельная ГОУТП ""ТЭКОС""";79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:26:02;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:26:10;0;;;352833037456380;20032 ;"Энская обл, Энск г, Александра Невского, д.36, котельная ГОУТП ""ТЭКОС""";79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:26:10;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:26:18;0;;;352833037456380;20032 ;"Энская обл, Энск г, Александра Невского, д.36, котельная ГОУТП ""ТЭКОС""";79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:26:18;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:26:27;0;;;352833037456380;20032 ;"Энская обл, Энск г, Александра Невского, д.36, котельная ГОУТП ""ТЭКОС""";79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:26:27;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:26:35;0;;;352833037456380;20032 ;"Энская обл, Энск г, Александра Невского, д.36, котельная ГОУТП ""ТЭКОС""";79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:26:35;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:26:44;0;;;352833037456380;20032 ;"Энская обл, Энск г, Александра Невского, д.36, котельная ГОУТП ""ТЭКОС""";79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:26:44;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:26:52;0;;;352833037456380;20032 ;"Энская обл, Энск г, Александра Невского, д.36, котельная ГОУТП ""ТЭКОС""";79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:26:52;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:27:01;0;;;352833037456380;20032 ;"Энская обл, Энск г, Александра Невского, д.36, котельная ГОУТП ""ТЭКОС""";79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:27:01;79062863352;79112009993;6238
79062863352;79114167216;250992180008353;02.09.2013 12:30:04;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 12:30:04;79062863352;79114167216;
79062863352;79114167216;250992180008353;02.09.2013 12:30:08;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 12:30:08;79062863352;79114167216;
79112009993;79062863352;250992180008353;02.09.2013 12:41:40;0;;;352833037456380;23131 ;Энская обл, Энск г, Садовая, д.9;79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:41:40;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:41:45;0;;;352833037456380;23131 ;Энская обл, Энск г, Садовая, д.9;79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:41:45;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:41:54;0;;;352833037456380;23131 ;Энская обл, Энск г, Садовая, д.9;79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:41:54;79062863352;79112009993;6238
79112009993;79062863352;250992180008353;02.09.2013 12:42:02;0;;;352833037456380;23131 ;Энская обл, Энск г, Садовая, д.9;79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 12:42:02;79062863352;79112009993;6238
79113034457;79062863352;250992180008353;02.09.2013 13:27:05;24;79062863352;;352833037456380;21231 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;02.09.2013 13:27:05;79062863352;79113034457;6238
79062863352;79113034457;250992180008353;02.09.2013 13:29:44;63;79113034457;;352833037456380;21232 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Исходящий звонок;Local;02.09.2013 13:29:44;79062863352;79113034457;6238
79062863352;79113009799;250992180008353;02.09.2013 14:57:45;11;79113009799;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;;Исходящий звонок;Local;02.09.2013 14:57:45;79062863352;79113009799;6238
79022823262;79062863352;250992180008353;02.09.2013 16:01:07;32;79062863352;;352833037456380;20363 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Входящий звонок;Local;02.09.2013 16:01:07;79062863352;79022823262;6238
79022823262;79062863352;250992180008353;02.09.2013 16:43:50;36;79062863352;;352833037456380;20302 ;Энская обл, Энск г, Героев Североморцев, д.50;79062919999;Энск;;Входящий звонок;Local;02.09.2013 16:43:50;79062863352;79022823262;6238
79062863352;79216666377;250992180008353;02.09.2013 16:52:49;6;79216666377;;352833037456380;20071 ;Энская обл, Энск г, Ивченко ул, д.8;79062919999;Энск;;Исходящий звонок;Local;02.09.2013 16:52:49;79062863352;79216666377;6238
79022823262;79062863352;250992180008353;02.09.2013 16:53:03;152;79062863352;;352833037456380;20071 ;Энская обл, Энск г, Ивченко ул, д.8;79062919999;Энск;;Входящий звонок;Local;02.09.2013 16:53:03;79062863352;79022823262;6238
79062863352;79114167216;250992180008353;02.09.2013 18:02:38;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:02:38;79062863352;79114167216;
79062863352;79286432226;250992180008353;02.09.2013 18:04:55;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:04:55;79062863352;79286432226;
79062863352;79113035593;250992180008353;02.09.2013 18:20:55;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:20:55;79062863352;79113035593;
79112009993;79062863352;250992180008353;02.09.2013 18:22:24;0;;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 18:22:24;79062863352;79112009993;6238
79062863352;79113035593;250992180008353;02.09.2013 18:25:37;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:25:37;79062863352;79113035593;
79062863352;79113035593;250992180008353;02.09.2013 18:25:41;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:25:41;79062863352;79113035593;
79112009993;79062863352;250992180008353;02.09.2013 18:26:43;0;;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;79112009993;SMS Входящее;Local;02.09.2013 18:26:43;79062863352;79112009993;6238
79062863357;79062863352;250992180008353;02.09.2013 18:27:15;61;79062863352;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;;Входящий звонок;Local;02.09.2013 18:27:15;79062863352;79062863357;6238
79062863357;79062863352;250992180397736;02.09.2013 18:27:15;60;79062863352;;357855010842960;20363 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Исходящий звонок;Local;02.09.2013 18:27:15;79062863357;79062863352;6238
79282000002;79062863352;250992180008353;02.09.2013 18:38:04;0;;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;79282000002;SMS Входящее;Local;02.09.2013 18:38:04;79062863352;79282000002;6238
79062863352;79216666377;250992180008353;02.09.2013 18:39:50;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:39:50;79062863352;79216666377;
79062863352;79216666377;250992180008353;02.09.2013 18:39:57;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:39:57;79062863352;79216666377;
79062863352;79216666377;250992180008353;02.09.2013 18:40:02;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:40:02;79062863352;79216666377;
79062863352;79216666377;250992180008353;02.09.2013 18:40:07;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:40:07;79062863352;79216666377;
79062863352;79286432226;250992180008353;02.09.2013 18:41:08;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:41:08;79062863352;79286432226;
79062863352;79113034457;250992180008353;02.09.2013 18:41:31;420;79113034457;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;;Исходящий звонок;Local;02.09.2013 18:41:31;79062863352;79113034457;6238
79282000002;79062863352;250992180008353;02.09.2013 18:42:23;0;;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;79282000002;SMS Входящее;Local;02.09.2013 18:42:23;79062863352;79282000002;6238
79062863352;79286432226;250992180008353;02.09.2013 18:49:02;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:49:02;79062863352;79286432226;
79282000002;79062863352;250992180008353;02.09.2013 18:51:26;0;;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;79282000002;SMS Входящее;Local;02.09.2013 18:51:26;79062863352;79282000002;6238
79282000002;79062863352;250992180008353;02.09.2013 18:51:31;0;;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;79282000002;SMS Входящее;Local;02.09.2013 18:51:31;79062863352;79282000002;6238
79062863352;79286432226;250992180008353;02.09.2013 18:55:01;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 18:55:01;79062863352;79286432226;
79062863352;79216666377;250992180008353;02.09.2013 18:57:25;27;79216666377;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;;Исходящий звонок;Local;02.09.2013 18:57:25;79062863352;79216666377;6238
79062863352;79216666377;250992180008353;02.09.2013 19:02:28;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 19:02:28;79062863352;79216666377;
79062863352;79216666377;250992180008353;02.09.2013 19:02:32;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 19:02:32;79062863352;79216666377;
79062863352;79113037710;250992180008353;02.09.2013 19:17:21;75;79113037710;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;;Исходящий звонок;Local;02.09.2013 19:17:21;79062863352;79113037710;6238
79113037710;79062863352;250992180008353;02.09.2013 19:19:14;17;79062863352;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;;Входящий звонок;Local;02.09.2013 19:19:14;79062863352;79113037710;6238
79282000002;79062863352;250992180008353;02.09.2013 19:20:53;0;;;352833037456380;20201 ;Энская обл, Энск г, Полярные Зори ул, д.19;79062919999;Энск;79282000002;SMS Входящее;Local;02.09.2013 19:20:53;79062863352;79282000002;6238
79062863352;79216666377;250992180008353;02.09.2013 19:33:14;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 19:33:14;79062863352;79216666377;
79062863352;79216666377;250992180008353;02.09.2013 19:33:19;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;02.09.2013 19:33:19;79062863352;79216666377;
79062863352;79522959984;250992180008353;03.09.2013 07:22:27;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;03.09.2013 07:22:27;79062863352;79522959984;
79043490003;79062863352;250992180008353;03.09.2013 07:22:56;0;;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;79043490003;SMS Входящее;Local;03.09.2013 07:22:56;79062863352;79043490003;6238
79062863352;79522959984;250992180008353;03.09.2013 07:29:18;11;79522959984;;352833037456380;21212 ;Энская обл, Энск г, Старостина, д.55;79062919999;Энск;;Исходящий звонок;Local;03.09.2013 07:29:18;79062863352;79522959984;6238
79211509689;79062863352;250992180008353;03.09.2013 08:03:31;7;79062863352;;352833037456380;20292 ;Энская обл, Энск г, Полярные Зори ул, д.62;79062919999;Энск;;Входящий звонок;Local;03.09.2013 08:03:31;79062863352;79211509689;6238
79062863352;79211509689;250992180008353;03.09.2013 08:03:58;8;79211509689;;352833037456380;20292 ;Энская обл, Энск г, Полярные Зори ул, д.62;79062919999;Энск;;Исходящий звонок;Local;03.09.2013 08:03:58;79062863352;79211509689;6238
79211509689;79062863352;250992180008353;03.09.2013 08:19:28;9;79062863352;;352833037456380;20292 ;Энская обл, Энск г, Полярные Зори ул, д.62;79062919999;Энск;;Входящий звонок;Local;03.09.2013 08:19:28;79062863352;79211509689;6238
79062863352;79216666377;250992180008353;03.09.2013 09:09:26;38;79216666377;;352833037456380;20292 ;Энская обл, Энск г, Полярные Зори ул, д.62;79062919999;Энск;;Исходящий звонок;Local;03.09.2013 09:09:26;79062863352;79216666377;6238
79062863352;79113494905;250992180008353;03.09.2013 09:31:51;33;79113494905;;352833037456380;20461 ;Энская обл, Энск г, Кольский, д.128;79062919999;Энск;;Исходящий звонок;Local;03.09.2013 09:31:51;79062863352;79113494905;6238
79062863352;79633596113;250992180008353;03.09.2013 16:49:33;129;79633596113;;352833037456380;23632 ;"Энская обл, Энск г, Промышленная, д.26, АМС ОАО ""ВымпелКом""";79062919999;Энск;;Исходящий звонок;Local;03.09.2013 16:49:33;79062863352;79633596113;6238
79062863352;79633596113;250992180468178;03.09.2013 16:49:33;129;79633596113;;351727051153460;20151 ;"Энская обл, Энск г, Желтая гора, СМТС и СХ ГУП ""АМНГР""";79062919999;Энск;;Входящий звонок;Local;03.09.2013 16:49:33;79633596113;79062863352;6238
79113494905;79062863352;250992180008353;03.09.2013 17:09:12;49;79062863352;;352833037456380;20292 ;Энская обл, Энск г, Полярные Зори ул, д.62;79062919999;Энск;;Входящий звонок;Local;03.09.2013 17:09:12;79062863352;79113494905;6238
79113494905;79062863352;250992180008353;03.09.2013 17:28:10;15;79062863352;;352833037456380;20483 ;"Энская обл, Энск г, Челюскинцев ул, д.1, стадион ""Профсоюзов"", осветительная вышка";79062919999;Энск;;Входящий звонок;Local;03.09.2013 17:28:10;79062863352;79113494905;6238
79062863352;79114167216;250992180008353;03.09.2013 18:46:05;1289;79114167216;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Исходящий звонок;Local;03.09.2013 18:46:05;79062863352;79114167216;6238
79057493732;79062863352;250992180008353;04.09.2013 10:08:39;163;79062863352;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;04.09.2013 10:08:39;79062863352;79057493732;6238
79057493732;79062863352;250997004107543;04.09.2013 10:08:39;163;79062863352;;352069052624840;20369 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Исходящий звонок;Local;04.09.2013 10:08:39;79057493732;79062863352;6238
79062863352;79216666377;250992180008353;04.09.2013 10:14:29;39;79216666377;;352833037456380;21231 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Исходящий звонок;Local;04.09.2013 10:14:29;79062863352;79216666377;6238
79057493732;79062863352;250992180008353;04.09.2013 10:52:42;66;79062863352;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;04.09.2013 10:52:42;79062863352;79057493732;6238
79057493732;79062863352;250997004107543;04.09.2013 10:52:43;65;79062863352;;352069052624840;20369 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Исходящий звонок;Local;04.09.2013 10:52:43;79057493732;79062863352;6238
79022823262;79062863352;250992180008353;04.09.2013 11:05:10;144;79062863352;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;04.09.2013 11:05:10;79062863352;79022823262;6238
79062863352;79216666377;250992180008353;04.09.2013 12:09:16;77;79216666377;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Исходящий звонок;Local;04.09.2013 12:09:16;79062863352;79216666377;6238
79062863352;79216666377;250992180008353;04.09.2013 12:38:05;17;79216666377;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Исходящий звонок;Local;04.09.2013 12:38:05;79062863352;79216666377;6238
79522959984;79062863352;250992180008353;04.09.2013 12:52:47;42;79062863352;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;04.09.2013 12:52:47;79062863352;79522959984;6238
79113062628;79062863352;250992180008353;04.09.2013 14:21:23;65;79062863352;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;04.09.2013 14:21:23;79062863352;79113062628;6238
79062863352;79022823262;250992180008353;04.09.2013 14:32:27;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;04.09.2013 14:32:27;79062863352;79022823262;
79043490003;79062863352;250992180008353;04.09.2013 14:33:12;0;;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;79043490003;SMS Входящее;Local;04.09.2013 14:33:12;79062863352;79043490003;6238
79062863352;79022823262;250992180008353;04.09.2013 14:33:38;0;;;;;;79062919999;Энск;;SMS Исходящее;Local;04.09.2013 14:33:38;79062863352;79022823262;
79043490003;79062863352;250992180008353;04.09.2013 14:34:08;0;;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;79043490003;SMS Входящее;Local;04.09.2013 14:34:08;79062863352;79043490003;6238
79062863357;79062863352;250992180008353;04.09.2013 15:26:57;96;79062863352;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;04.09.2013 15:26:57;79062863352;79062863357;6238
79062863357;79062863352;250992180397736;04.09.2013 15:26:57;95;79062863352;;357855010842960;20362 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Исходящий звонок;Local;04.09.2013 15:26:57;79062863357;79062863352;6238
79113013030;79062863352;250992180008353;04.09.2013 16:28:57;188;79062863352;;352833037456380;21231 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;04.09.2013 16:28:57;79062863352;79113013030;6238
79062863352;79216666377;250992180008353;04.09.2013 16:39:44;9;79216666377;;352833037456380;21232 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Исходящий звонок;Local;04.09.2013 16:39:44;79062863352;79216666377;6238
79062863352;79216666377;250992180008353;04.09.2013 16:58:10;6;79216666377;;352833037456380;23633 ;"Энская обл, Энск г, Промышленная, д.26, АМС ОАО ""ВымпелКом""";79062919999;Энск;;Исходящий звонок;Local;04.09.2013 16:58:10;79062863352;79216666377;6238
79062863352;79113034457;250992180008353;04.09.2013 20:41:19;96;79113034457;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Исходящий звонок;Local;04.09.2013 20:41:19;79062863352;79113034457;6238
79062863357;79062863352;250992180008353;04.09.2013 21:09:36;133;79062863352;;352833037456380;21233 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;04.09.2013 21:09:36;79062863352;79062863357;6238
79062863357;79062863352;250992180397736;04.09.2013 21:09:36;133;79062863352;;357855010842960;20362 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Исходящий звонок;Local;04.09.2013 21:09:36;79062863357;79062863352;6238
79062863357;79062863352;250992180008353;04.09.2013 21:15:20;171;79062863352;;352833037456380;21232 ;Энская обл, Энск г, Скальная ул, д.7;79062919999;Энск;;Входящий звонок;Local;04.09.2013 21:15:20;79062863352;79062863357;6238
79062863357;79062863352;250992180397736;04.09.2013 21:15:21;170;79062863352;;357855010842960;20363 ;Энская обл, Энск г, Буркова ул, д.6, СЭС;79062919999;Энск;;Исходящий звонок;Local;04.09.2013 21:15:21;79062863357;79062863352;6238
79062863352;79216666377;250992180008353;05.09.2013 09:51:39;26;79216666377;;352833037456380;20312 ;Энская обл, Энск г, Старостина ул, д.93;79062919999;Энск;;Исходящий звонок;Local;05.09.2013 09:51:39;79062863352;79216666377;6238
79215101913;79062863352;250992180008353;05.09.2013 11:23:35;83;79062863352;;352833037456380;20312 ;Энская обл, Энск г, Старостина ул, д.93;79062919999;Энск;;Входящий звонок;Local;05.09.2013 11:23:35;79062863352;79215101913;6238
